"id","name","organisation","startdate","enddate","number_of_participants","number_of_waste_bags","kg_of_collected_waste","handout_gloves","handout_wastebags","municipality","county","municipality_name","county_name","meters_cleaned_beach","teiner","oljefat","fulle_soppelbotter","avfallsstasjon","kloakkutslipp","dumpet_avfall","serveringssteder","turisme","biltrafikk","havn","landbruk","fiskeri_havbruk","bygg_anlegg","geom_wkt","personal_use","fisheries","industrial","hygiene","others","created_at","created_by","updated_at","updated_by"
"236","Rydde badeplassen ved Heiavannet, veier inn, rundt demningen samt parkeringsplassen","Norges Dykkeforbund","28/4/2020 02:00:00","28/4/2020 02:00:00","12","15","300","0","1","3030","30","Lillestrøm","Viken","6",,"0","1",,,"1",,"1",,,,,,"POINT(11.2159594409662 59.9284399620632)","1707","87","63","15","1002","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"237","Rydde Tuftene - Solbakk Båtforening","Clean Shores Global","30/4/2020 02:00:00","30/4/2020 02:00:00","2","4","80","1","1","1130","11","Strand","Rogaland","0",,"2",,,,,,,,,,,,"POINT(5.93700075515862 59.0353407090464)","166","34","71","26","54","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"238","Rydde Njervessanden","Clean Shores Global","1/5/2020 02:00:00","1/5/2020 02:00:00","2","4","60","1","1","4205","42","Lindesnes","Agder","547",,"1",,,,,,,,,,,,"POINT(7.16431320194881 58.0461659760734)","231","118","23","33","78","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"239","Rydde Fugleneset","Clean Shores Global","2/5/2020 02:00:00","2/5/2020 02:00:00","2","9","150","1","1","4205","42","Lindesnes","Agder","0",,"2",,,,,,,,,,,,"POINT(7.1078208992104 58.039367542303)","223","125","89","35","209","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"254","Rydde Kjønnøy med omliggende øyer","","10/6/2020 02:00:00","30/6/2020 02:00:00","20","33","330","1","1","1554","15","Averøy","Møre og Romsdal","20792",,"5",,,,,,,,,,"1","1","POINT(7.48227219243191 63.0716044657304)","3","105","359","60","75","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"259","Rydde rundt badeplassen og friluftsområde på Hvalstjern samt tilhørende parkeringsplass","Norges Dykkeforbund","30/4/2020 02:00:00","30/4/2020 02:00:00","10","20","500","0","1","3030","30","Lillestrøm","Viken","0",,"5","1","1",,"1",,"1",,,,,,"POINT(11.2297873687855 59.921836858934)","2370","31","25","30","1005","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"264","Strand Spornes, Raet asjonalpark","","1/5/2020 02:00:00","1/5/2020 02:00:00","3","1","10","0","0","4203","42","Arendal","Agder","0",,"0",,,,,,,,,,,,"POINT(8.85769942368359 58.4447878050206)","33","17","0","15","41","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"271","Rydde Komagvikelva","","3/5/2020 02:00:00","3/5/2020 02:00:00","4","4","30","0","0","5401","54","Tromsø","Troms og Finnmark","332",,"0",,,,,,,,,,,,"POINT(18.8637532674033 69.9520396997744)","75","562","46","0","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"283","Rydde Lyngholmane","Norges Dykkeforbund","14/5/2020 02:00:00","14/5/2020 02:00:00","7","11","240","1","1","3804","38","Sandefjord","Vestfold og Telemark","5980",,"0",,,,,,,,,,,,"POINT(10.295570476741 59.0469603230803)","8","5","1","1","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"284","Rydde Ertsvikodden","Norges Dykkeforbund","14/5/2020 02:00:00","14/5/2020 02:00:00","7","15","150","1","1","3804","38","Sandefjord","Vestfold og Telemark","26",,"1",,,,,,,,,,,,"POINT(10.300106624567 59.0565187570477)","11","6","5","2","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"287","Åra. Rydde Åreskaget. ","","2/5/2020 02:00:00","4/5/2020 02:00:00","1","12","120","1","1","4635","46","Gulen","Vestland","2854",,"0",,,,,,,,,,,,"POINT(4.85308321265841 60.8685116292316)","52","274","24","22","3","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"290","Rydde Skeie Risavika Båtforening","Clean Shores Global","5/5/2020 02:00:00","5/5/2020 02:00:00","1","10","200","1","1","1124","11","Sola","Rogaland","0",,"4",,,,,,,,,,,,"POINT(5.6054204553489 58.9244334911767)","589","479","1052","99","207","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"307","Rydde Mattisstøa","Norges Dykkeforbund","3/5/2020 02:00:00","3/5/2020 02:00:00","3","3","30","0","0","1804","18","Bodø","Nordland","1605",,"0",,,,,,,,,,,,"POINT(14.5922448561295 67.2781387744545)","216","378","93","79","206","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"320","Rydde Snarsetveien og Snarsetnessan","","7/5/2020 02:00:00","10/5/2020 02:00:00","2","0","140","0","1","1867","18","Bø","Nordland","1323",,"4",,,,,,,,,,"1",,"POINT(14.6087728497267 68.6243473512565)","261","1186","46","0","46","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"330","Berlevåg vest","","8/5/2020 02:00:00","22/6/2020 02:00:00","7","90","900","0","1","5440","54","Berlevåg","Troms og Finnmark","6096",,"3","1",,,"1","1","1","0",,"1","1","1","POINT(29.1014503909734 70.8668862973158)","515","440","140","65","271","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"340","Rydde Delp - Straumnes","","4/5/2020 02:00:00","31/10/2020 01:00:00","2","200","1380","0","1","1865","18","Vågan","Nordland","7",,"5",,,,,,,,,,,,"POINT(14.4872239307099 68.3935360050909)","2066","3240","806","154","1475","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"343","Rydde Kyrhovden ( nede i Urlekleiva)","","7/5/2020 02:00:00","7/5/2020 02:00:00","2","4","40","0","0","4631","46","Alver","Vestland","0",,"0",,,,,,,,,,,,"POINT(5.03599129989077 60.6420455235211)","47","5","12","0","10","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"344","Rydde Søre Slåttholmen","","9/5/2020 02:00:00","9/5/2020 02:00:00","3","6","60","0","0","4631","46","Alver","Vestland","1223",,"0",,,,,,,,,,,"1","POINT(5.00847728944373 60.6454679982454)","46","48","21","18","26","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"352","Rydde Holme nord for Gjessøy","","9/5/2020 02:00:00","9/5/2020 02:00:00","2","4","40","0","0","1836","18","Rødøy","Nordland","0",,"5",,,,,,,,,,,,"POINT(12.9493544815098 66.691116991404)","48","100","23","0","36","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"353","Rydde Svartskjæran","","9/5/2020 02:00:00","9/5/2020 02:00:00","2","6","60","0","0","1836","18","Rødøy","Nordland","0",,"4",,,,,,,,,,,,"POINT(12.9393569206634 66.6890998960914)","76","114","28","3","34","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"358","Rydde ved Tyvnesmoloen","","10/5/2020 02:00:00","10/5/2020 02:00:00","4","0","57","1","1","1857","18","Værøy","Nordland","0",,"0",,,,"1",,,,,,"1","1","POINT(12.7038991175361 67.6507215002833)","53","267","34","5","57","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"363","Rydde Middagsvika","","3/5/2020 02:00:00","3/5/2020 02:00:00","4","4","40","0","0","1507","15","Ålesund","Møre og Romsdal","16",,"0",,"1",,,,,,,,"1",,"POINT(6.44417283795021 62.5038677899972)","32","18","41","3","500","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"364","Rydde Bay Namjoon","","11/4/2020 02:00:00","25/4/2020 02:00:00","4","6","60","0","0","1507","15","Ålesund","Møre og Romsdal","9",,"1",,"1",,,,,,,,"1",,"POINT(6.44335506487739 62.5033005214104)","50","22","27","0","400","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"366","Rydde Vangneset","","11/5/2020 02:00:00","31/5/2020 02:00:00","4","22","220","0","1","1866","18","Hadsel","Nordland","636",,"1",,,,,,,,,,,,"POINT(14.9853378253181 68.5311430048711)","48","466","38","13","67","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"372","Rydde Landende","","9/5/2020 02:00:00","10/5/2020 02:00:00","2","11","110","0","0","1832","18","Hemnes","Nordland","1036",,"0",,,,,,,,,,,,"POINT(13.4814117914068 66.2298192081195)","85","26","84","10","13","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"384","V&I-kartlegging Minnestranda","","12/5/2020 02:00:00","12/5/2020 02:00:00","2","1","1","0","0","3035","30","Eidsvoll","Viken","0",,"0",,,,,,,,,,,,"POINT(11.2258315818461 60.3986806837933)","11","2","1","0","2","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"386","V&I- kartlegging Gansvika/Nordre Øyeren (Støjordet badeplass)","","12/5/2020 02:00:00","12/5/2020 02:00:00","2","0","3","0","0","3035","30","Eidsvoll","Viken","0",,"0",,,,,,,,,,,,"POINT(11.2387032869307 60.425207249317)","15","5","9","0","14","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"387","Rydde ","","9/5/2020 02:00:00","9/5/2020 02:00:00","4","4","40","0","0","1871","18","Andøy","Nordland","739",,"2","1",,,"1",,"1","1","1","1","1","1","POINT(16.1409933957198 69.270549279835)","149","127","39","18","32","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"410","Korsholmkeila - årlig rydding","Ren Kyst","10/5/2020 02:00:00","10/5/2020 02:00:00","3","3","30","0","0","5401","54","Tromsø","Troms og Finnmark","106",,"0",,,,,,"1",,,,"1",,"POINT(18.1424176063309 69.7943506000649)","53","36","6","0","7","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"432","Rydde på Skagen, Hadsel kommune, ved bussholdeplass/vei/molo","","16/5/2020 02:00:00","16/5/2020 02:00:00","3","7","70","0","0","1866","18","Hadsel","Nordland","0",,"0",,,,"1",,,"1","1",,"1","1","POINT(15.0036917639836 68.5829100601929)","116","300","131","20","112","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"449","Rydde Reiste Fra Borga og vestover 500 meter","","16/5/2020 02:00:00","17/5/2020 02:00:00","2","10","100","0","0","1860","18","Vestvågøy","Nordland","498",,"0",,,,,,,,,,,,"POINT(13.613725114195 68.2943294400637)","648","1521","277","121","1683","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
"452","Rydde Gansvika","","12/5/2020 02:00:00","12/5/2020 02:00:00","2","10","100","0","0","3030","30","Lillestrøm","Viken","0",,"0",,,,,,,,,,,,"POINT(11.2111383626936 59.8647853925006)","17","8","10","0","14","26/9/2023 05:47:41",,"26/9/2023 05:47:41",
